Preparing worktree (detached HEAD 25aea76)
negative controls: 147 of 147
worktree: /var/folders/gy/fgcsxyg95yxdym1qs1tvkzj80000gp/T/erl2-negative-control-kjbPvx/tree
installing dependencies in the worktree (once)…
  ✔ crash-lease-reclamation: 9 pass / 18 fail (expected fail, named_tests_failed)
  ✔ invocation-count-not-dedup: 11 pass / 9 fail (expected fail, named_tests_failed)
  ✔ cutoff-milestone-resolution: 17 pass / 1 fail (expected fail, named_tests_failed)
  ✔ cutoff-bounds-derivation: 17 pass / 1 fail (expected fail, named_tests_failed)
  ✔ cutoff-clock-divergence: 17 pass / 1 fail (expected fail, named_tests_failed)
  ✔ cutoff-lifecycle-reachability: 17 pass / 1 fail (expected fail, named_tests_failed)
  ✔ payload-presence-accounting: 7 pass / 1 fail (expected fail, named_tests_failed)
  ✔ payload-directory-enumeration: 5 pass / 3 fail (expected fail, named_tests_failed)
  ✔ signer-producer-ordinary-signature: 5 pass / 12 fail (expected fail, named_tests_failed)
  ✔ signer-producer-root-signature: 15 pass / 2 fail (expected fail, named_tests_failed)
  ✔ signer-producer-wrapper-signature: 16 pass / 1 fail (expected fail, named_tests_failed)
  ✔ signer-producer-unknown-contract: 16 pass / 1 fail (expected fail, named_tests_failed)
  ✔ signer-producer-completeness-derivation: 16 pass / 1 fail (expected fail, named_tests_failed)
  ✔ signer-producer-finalization-gate: 16 pass / 1 fail (expected fail, named_tests_failed)
  ✔ signer-producer-postfreeze-recheck: 16 pass / 1 fail (expected fail, named_tests_failed)
  ✔ signer-fixture-complete-set: 4 pass / 2 fail (expected fail, named_tests_failed)
  ✔ signer-verifier-trusts-producer-flag: 10 pass / 12 fail (expected fail, named_tests_failed)
  ✔ signer-verifier-missing-direction: 17 pass / 5 fail (expected fail, named_tests_failed)
  ✔ signer-verifier-extra-detection: 20 pass / 2 fail (expected fail, named_tests_failed)
  ✔ signer-verifier-duplicate-detection: 21 pass / 1 fail (expected fail, named_tests_failed)
  ✔ signer-verifier-lifecycle-reachability: 21 pass / 1 fail (expected fail, named_tests_failed)
  ✔ signer-verifier-member-run-binding: 21 pass / 1 fail (expected fail, named_tests_failed)
  ✔ signer-verifier-inventory-run-scope: 21 pass / 1 fail (expected fail, named_tests_failed)
  ✔ signer-verifier-entry-signature-binding: 21 pass / 1 fail (expected fail, named_tests_failed)
  ✔ signer-invalid-record-inventory: 21 pass / 1 fail (expected fail, named_tests_failed)
  ✔ signer-verifier-wrapper-field: 0 pass / 4 fail (expected fail, named_tests_failed)
  ✔ signer-verifier-environment-completeness: 1 pass / 3 fail (expected fail, named_tests_failed)
  ✔ window-producer-lifecycle-reach: 0 pass / 18 fail (expected fail, named_tests_failed)
  ✔ window-producer-uses-frozen-commitment: 25 pass / 5 fail (expected fail, named_tests_failed)
